iata,name,city,country,region,lat,lon,size
HIB,Range Regional Airport,Hibbing,US,US-MN,47.384831,-92.836905,medium
HID,Horn Island Airport,Horn,AU,AU-QLD,-10.585636,142.29277,medium
HII,Lake Havasu City Airport,Lake Havasu City,US,US-AZ,34.570506,-114.357745,medium
HIJ,Hiroshima Airport,Hiroshima,JP,JP-34,34.4361,132.919006,large
HIL,Shilavo Airport,Shilavo,ET,ET-SO,6.077545,44.763736,small
HIN,Sacheon Airport / Sacheon Air Base,Sacheon,KR,KR-48,35.088591,128.071747,medium
HIR,Honiara International Airport,Honiara,SB,SB-GU,-9.428,160.054993,large
HJB,Hejing Bayinbuluke Airport,Hejing,CN,CN-65,42.976395,83.995543,small
HJJ,Huaihua Zhijiang Airport,Huaihua,CN,CN-43,27.443087,109.704666,medium
HJR,Khajuraho Airport,Khajuraho,IN,IN-MP,24.8172,79.918602,medium
HKD,Hakodate Airport,Hakodate,JP,JP-01,41.77,140.822006,large
HKG,Hong Kong International Airport,Hong Kong,HK,HK-NT,22.31184,113.914862,large
HKK,Hokitika Airfield,,NZ,NZ-WTC,-42.713600158691406,170.98500061035156,medium
HKN,Hoskins Airport,Kimbe,PG,PG-WBK,-5.463846,150.407327,medium
HKT,Phuket International Airport,Phuket,TH,TH-83,8.113257,98.3174,large
HLA,Lanseria International Airport,Johannesburg,ZA,ZA-GT,-25.938964,27.926642,large
HLD,Hulunbuir Hailar Airport,Hailar,CN,CN-15,49.208616,119.822301,large
HLE,Saint Helena International Airport,Jamestown,SH,SH-SH,-15.958898,-5.646066,medium
HLH,Ulanhot Yilelite Airport,Ulanhot,CN,CN-15,46.195333,122.008333,small
HLN,Helena Regional Airport,Helena,US,US-MT,46.6068,-111.983002,medium
HLP,Halim Perdanakusuma International Airport,Jakarta,ID,ID-JK,-6.266989,106.890318,large
HLZ,Hamilton International Airport,Hamilton,NZ,NZ-WKO,-37.866961,175.331952,medium
HMA,Khanty Mansiysk Airport,Khanty-Mansiysk,RU,RU-KHM,61.0285,69.086098,medium
HMB,Suhaj International Airport,Suhaj,EG,EG-SHG,26.342515,31.743017,large
HME,Hassi Messaoud-Oued Irara Krim Belkacem Airport,Hassi Messaoud,DZ,DZ-30,31.673,6.14044,medium
HMI,Hami Airport,Hami,CN,CN-65,42.8414,93.669197,medium
HMO,General Ignacio L. Pesqueira International Airport,Hermosillo,MX,MX-SON,29.092811,-111.053015,large
